CID,ML_Active_Score,Max_Training_Tanimoto,DockThor_Score,Interaction_Energy,smiles,MW,logP,TPSA,HBD,HBA,Rotatable_Bonds,HIA,BBB,Pgp_Inhibitor,Pgp_Substrate,CYP1A2-inh,CYP2C19-inh,CYP2C9-inh,CYP2D6-inh,CYP3A4-inh,Ames,QED,Synthetic_Accessibility,Lipinski
CID142677260,0.999246,0.351,-8.912,-34.893,OCCC1COc2cc3ncnc(Nc4cccc(C(F)(F)F)c4)c3cc2O1,391.11,3.810959419800175,76.5,2,6,5,0.0111661553382873,0.0005013433983549,0.9752840399742126,0.0907787382602691,0.986912965774536,0.5665178894996643,0.0087540233507752,0.9794287085533142,0.9378616809844972,0.3038230836391449,0.702,3,0
CID20747416,0.999215,0.559,-9.739,-33.328,CCC1COc2cc3ncnc(Nc4cccc(Br)c4)c3cc2O1,385.04,4.471226275677522,56.27,1,5,3,0.0055353045463562,0.006095022894442,0.9722135066986084,0.0202981699258089,0.9999990463256836,0.9967016577720642,0.9613246321678162,0.998847246170044,0.9969069361686708,0.4686039090156555,0.708,2,0
CID20747417,0.999215,0.509,-9.594,-32.274,CCC1COc2cc3ncnc(Nc4cccc(C)c4)c3cc2O1,321.15,4.152184600572664,56.27,1,5,3,0.0024666786193847,0.0002285184600623,0.9375045895576476,0.0534087046980857,0.9999984502792358,0.998335063457489,0.6627202033996582,0.9904603958129884,0.9959147572517396,0.5942441821098328,0.782,2,0
CID122232433,0.999198,0.448,-9.112,-37.118,COc1cccc(Nc2ncnc3cc4c(cc23)OC(NCCN)CO4)c1,367.16,2.087282477313267,103.55,4,8,6,0.0026776194572448,1.5472095356017237e-06,0.0178972426801919,0.9896700978279114,0.9997766613960266,0.7272822856903076,5.630253508570604e-05,0.9999189376831056,0.9900875687599182,0.7068933844566345,0.608,3,0
